,default,atreugo,baa,beego,bone,bxog,chi,denco,echov4,fasthttp,fasthttprouter,fasthttp/router,fasthttp-routing,fastrouter,fresh,gear,gin,gocraftWeb,goji,gojsonrest,golf,gorestful,gorilla,gorouter,go-ozzo,gowww,gramework,httprouter,httptreemux
10,356.59,378.69,447.76,496.99,502.82,502.44,502.89,502.58,502.74,505.82,506.38,502.58,505.75,502.54,487.89,497.39,502.65,503.52,502.74,503.68,504.01,502.04,503.41,502.58,503.82,502.50,505.22,503.88,503.54
50,502.60,503.27,502.02,500.07,501.13,501.20,501.33,502.35,501.05,504.61,502.71,504.62,500.64,489.05,482.15,499.85,501.50,499.77,501.28,494.99,501.54,500.74,500.80,501.87,501.43,502.53,502.15,501.72,501.33
100,496.77,501.78,496.54,498.29,498.47,499.10,498.74,497.22,498.26,502.98,501.18,500.87,501.45,499.16,482.05,496.78,497.39,498.13,492.57,497.81,497.23,408.47,439.23,447.40,481.97,486.12,491.42,462.81,476.99
