,default,atreugo,baa,beego,bone,bxog,chi,denco,echov4,fasthttp,fasthttprouter,fasthttp/router,fasthttp-routing,fastrouter,fresh,gear,gin,gocraftWeb,goji,gojsonrest,golf,gorestful,gorilla,gorouter,go-ozzo,gowww,gramework,httprouter,httptreemux
100,2532.06,2548.39,2521.44,2524.99,2524.40,2827.73,2872.88,2843.79,2838.73,2885.31,2896.09,2880.77,2872.37,2874.25,2561.55,2867.45,2866.68,2867.37,2863.72,2926.74,2878.10,2893.67,2831.34,2581.74,2584.65,2597.05,2612.71,2585.88,2844.24
1000,23536.10,27807.32,21751.68,22522.58,23245.25,22425.05,20730.75,21724.68,18476.22,23701.54,26477.72,23999.98,24465.84,19872.92,6324.60,19767.45,19255.47,20657.29,21512.43,19420.37,20754.92,22167.94,21704.43,20914.18,20530.68,23422.45,27191.39,24464.62,23775.90
5000,291.68,3.39,17.49,4.10,11.50,4.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
